,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,3,police,police
3,4,aide,help
4,5,demande,request
5,6,genre,kind
6,8,laisser,let
7,9,car,because
8,11,aucun,no
9,13,eux,them
10,14,chaque,each
11,15,parlé,speak
12,16,arrivé,come
13,18,bébé,baby
14,19,longtemps,long time
15,20,heures,hours
16,21,vont,will
17,22,pendant,while
18,24,aucune,any
19,25,place,square
20,27,compris,understood
21,29,étaient,were
22,30,attention,Warning
23,31,voici,here is
24,33,donner,give
25,34,type,type
26,35,leurs,their
27,36,donné,given
28,37,train,train
29,38,corps,body
30,39,endroit,place
31,40,yeux,eyes
32,42,écoute,listen
33,43,dont,whose
34,44,trouve,find
35,46,perdu,lost
36,47,côté,side
37,48,pouvoir,power
38,49,vieux,old
39,50,matin,morning
40,51,tellement,so much
41,52,enfant,child
42,53,point,point
43,54,venu,came
44,55,pardon,sorry
45,56,venez,come
46,57,devant,in front of
47,58,minutes,minutes
48,59,demandé,request
49,60,chambre,bedroom
50,61,mis,placed
51,62,belle,beautiful
52,63,droit,law
53,65,aujourd'hui,today
54,66,mari,husband
55,67,cause,cause
56,68,enfin,finally
57,69,eau,water
58,70,attendez,Wait
59,71,parti,left
60,73,boulot,job
61,74,arrêter,Stop
62,75,terre,Earth
63,76,compte,account
64,77,donne,given
65,78,loin,far
66,79,fin,end
67,81,chérie,sweetheart
68,82,gros,large
69,84,aura,will have
70,85,filles,girls
71,86,jouer,to play
72,87,bureau,office
